陰|ㄧㄣ|overcast (weather); cloudy; shady; Yin (the negative principle of Yin and Yang); negative (electric.); feminine; moon; implicit; hidden; genitalia.
漢字|ㄏㄢˋ ㄗˋ|Chinese character; CL:個/个[ge4]; Japanese: kanji; Korean: hanja; Vietnamese: hán tự.
椅子|ㄧˇ ㄗ˙|chair; CL:把[ba3],套[tao4].
醫院|ㄧ ㄩㄢˋ|hospital; CL:所[suo3],家[jia1],座[zuo4].
漢語|ㄏㄢˋ ㄩˇ|Chinese language; CL:門/门[men2].
意外|ㄧˋ ㄨㄞˋ|unexpected; accident; mishap; CL:個/个[ge4].
意思|ㄧˋ ㄙ˙|idea; opinion; meaning; wish; desire; interest; fun; token of appreciation, affection etc; CL:個/个[ge4]; to give as a small token; to do sth as a gesture of goodwill etc.
醫生|ㄧ ㄕㄥ|doctor; CL:個/个[ge4],位[wei4],名[ming2].
以前|ㄧˇ ㄑㄧㄢˊ|before; formerly; previous; ago.
已經|ㄧˇ ㄐㄧㄥ|already.
意見|ㄧˋ ㄐㄧㄢˋ|idea; opinion; suggestion; objection; complaint; CL:點/点[dian3],條/条[tiao2].
以後|ㄧˇ ㄏㄡˋ|after; later; afterwards; following; later on; in the future.
衣服|ㄧ ㄈㄨ˙|clothes; CL:件[jian4],套[tao4].
意大利|ㄧˋ ㄉㄚˋ ㄌㄧˋ|Italy; Italian.
爺爺|ㄧㄝˊ ㄧㄝ˙|(coll.) father's father; paternal grandfather; CL:個/个[ge4].
也|ㄧㄝˇ|surname Ye.
也|ㄧㄝˇ|also; too; (in Classical Chinese) final particle implying affirmation.
要求|ㄧㄠ ㄑㄧㄡˊ|to request; to require; requirement; to stake a claim; to ask; to demand; CL:點/点[dian3].
藥|ㄧㄠˋ|medicine; drug; substance used for a specific purpose (e.g. poisoning, explosion, fermenting); CL:種/种[zhong3],服[fu4],味[wei4]; to poison.
要|ㄧㄠ|to demand; to request; to coerce.
要|ㄧㄠˋ|important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if.
羊肉|ㄧㄤˊ ㄖㄡˋ|mutton; goat meat.
